#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
2.400000e+01 9.654100e+02 9.746200e-03 0.000000e+00 1.592200e+00 1.371900e-07 1.456800e-03 -4.926900e-07 2.075092e-12 2.075092e-12 2.075092e-12 2.075092e-12 1.043937e-10 1.043937e-10 1.043937e-10 1.043937e-10 1.043937e-10
2.500000e+01 9.801400e+02 1.128800e-02 0.000000e+00 1.662700e+00 1.379400e-07 1.416000e-03 -8.449700e-07 2.190830e-12 2.190830e-12 2.190830e-12 2.190830e-12 1.216876e-10 1.216876e-10 1.216876e-10 1.216876e-10 1.216876e-10
2.600000e+01 9.950800e+02 1.297700e-02 0.000000e+00 1.728100e+00 1.385900e-07 1.377000e-03 -1.131100e-06 2.306282e-12 2.306282e-12 2.306282e-12 2.306282e-12 1.409408e-10 1.409408e-10 1.409408e-10 1.409408e-10 1.409408e-10
2.700000e+01 1.010400e+03 1.480500e-02 0.000000e+00 1.785600e+00 1.391400e-07 1.339700e-03 -1.297000e-06 2.421350e-12 2.421350e-12 2.421350e-12 2.421350e-12 1.622765e-10 1.622765e-10 1.622765e-10 1.622765e-10 1.622765e-10
2.800000e+01 1.026000e+03 1.679000e-02 0.000000e+00 1.833700e+00 1.396000e-07 1.303900e-03 -1.308600e-06 2.535952e-12 2.535952e-12 2.535952e-12 2.535952e-12 1.858188e-10 1.858188e-10 1.858188e-10 1.858188e-10 1.858188e-10
2.900000e+01 1.041900e+03 1.894400e-02 0.000000e+00 1.873200e+00 1.399700e-07 1.269300e-03 -1.185000e-06 2.650009e-12 2.650009e-12 2.650009e-12 2.650009e-12 2.116930e-10 2.116930e-10 2.116930e-10 2.116930e-10 2.116930e-10
3.000000e+01 1.058100e+03 2.128500e-02 0.000000e+00 1.904100e+00 1.402700e-07 1.235900e-03 -9.709900e-07 2.763440e-12 2.763440e-12 2.763440e-12 2.763440e-12 2.400251e-10 2.400251e-10 2.400251e-10 2.400251e-10 2.400251e-10
3.100000e+01 1.074300e+03 2.383500e-02 0.000000e+00 1.927400e+00 1.404800e-07 1.203900e-03 -7.617700e-07 2.876165e-12 2.876165e-12 2.876165e-12 2.876165e-12 2.709415e-10 2.709415e-10 2.709415e-10 2.709415e-10 2.709415e-10
3.200000e+01 1.090800e+03 2.660100e-02 0.000000e+00 1.943700e+00 1.406400e-07 1.173500e-03 -6.441600e-07 2.988104e-12 2.988104e-12 2.988104e-12 2.988104e-12 3.045690e-10 3.045690e-10 3.045690e-10 3.045690e-10 3.045690e-10
3.300000e+01 1.107700e+03 2.958500e-02 0.000000e+00 1.952500e+00 1.407300e-07 1.144600e-03 -6.232400e-07 3.099176e-12 3.099176e-12 3.099176e-12 3.099176e-12 3.410347e-10 3.410347e-10 3.410347e-10 3.410347e-10 3.410347e-10
