#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
2.400000e+01 9.654100e+02 9.746200e-03 0.000000e+00 1.592200e+00 1.371900e-07 1.456800e-03 -4.926900e-07 1.285885e-10 1.285885e-10 1.285885e-10 1.285885e-10 9.654101e-09 9.654101e-09 9.654101e-09 9.654101e-09 9.654101e-09
2.500000e+01 9.801400e+02 1.128800e-02 0.000000e+00 1.662700e+00 1.379400e-07 1.416000e-03 -8.449700e-07 1.347957e-10 1.347957e-10 1.347957e-10 1.347957e-10 9.801401e-09 9.801401e-09 9.801401e-09 9.801401e-09 9.801401e-09
2.600000e+01 9.950800e+02 1.297700e-02 0.000000e+00 1.728100e+00 1.385900e-07 1.377000e-03 -1.131100e-06 1.409609e-10 1.409609e-10 1.409609e-10 1.409609e-10 9.950801e-09 9.950801e-09 9.950801e-09 9.950801e-09 9.950801e-09
2.700000e+01 1.010400e+03 1.480500e-02 0.000000e+00 1.785600e+00 1.391400e-07 1.339700e-03 -1.297000e-06 1.470722e-10 1.470722e-10 1.470722e-10 1.470722e-10 1.010400e-08 1.010400e-08 1.010400e-08 1.010400e-08 1.010400e-08
2.800000e+01 1.026000e+03 1.679000e-02 0.000000e+00 1.833700e+00 1.396000e-07 1.303900e-03 -1.308600e-06 1.531286e-10 1.531286e-10 1.531286e-10 1.531286e-10 1.026000e-08 1.026000e-08 1.026000e-08 1.026000e-08 1.026000e-08
2.900000e+01 1.041900e+03 1.894400e-02 0.000000e+00 1.873200e+00 1.399700e-07 1.269300e-03 -1.185000e-06 1.591194e-10 1.591194e-10 1.591194e-10 1.591194e-10 1.041900e-08 1.041900e-08 1.041900e-08 1.041900e-08 1.041900e-08
3.000000e+01 1.058100e+03 2.128500e-02 0.000000e+00 1.904100e+00 1.402700e-07 1.235900e-03 -9.709900e-07 1.650572e-10 1.650572e-10 1.650572e-10 1.650572e-10 1.058100e-08 1.058100e-08 1.058100e-08 1.058100e-08 1.058100e-08
3.100000e+01 1.074300e+03 2.383500e-02 0.000000e+00 1.927400e+00 1.404800e-07 1.203900e-03 -7.617700e-07 1.709094e-10 1.709094e-10 1.709094e-10 1.709094e-10 1.074300e-08 1.074300e-08 1.074300e-08 1.074300e-08 1.074300e-08
3.200000e+01 1.090800e+03 2.660100e-02 0.000000e+00 1.943700e+00 1.406400e-07 1.173500e-03 -6.441600e-07 1.767155e-10 1.767155e-10 1.767155e-10 1.767155e-10 1.090800e-08 1.090800e-08 1.090800e-08 1.090800e-08 1.090800e-08
3.300000e+01 1.107700e+03 2.958500e-02 0.000000e+00 1.952500e+00 1.407300e-07 1.144600e-03 -6.232400e-07 1.824436e-10 1.824436e-10 1.824436e-10 1.824436e-10 1.107700e-08 1.107700e-08 1.107700e-08 1.107700e-08 1.107700e-08
3.400000e+01 1.124600e+03 3.279800e-02 0.000000e+00 1.953800e+00 1.407600e-07 1.116800e-03 -6.828600e-07 1.880987e-10 1.880987e-10 1.880987e-10 1.880987e-10 1.124600e-08 1.124600e-08 1.124600e-08 1.124600e-08 1.124600e-08
3.500000e+01 1.141800e+03 3.624200e-02 0.000000e+00 1.948400e+00 1.407400e-07 1.090100e-03 -8.030700e-07 1.936873e-10 1.936873e-10 1.936873e-10 1.936873e-10 1.141800e-08 1.141800e-08 1.141800e-08 1.141800e-08 1.141800e-08
3.600000e+01 1.159200e+03 3.992200e-02 0.000000e+00 1.936200e+00 1.406600e-07 1.064600e-03 -9.587800e-07 1.991893e-10 1.991893e-10 1.991893e-10 1.991893e-10 1.159200e-08 1.159200e-08 1.159200e-08 1.159200e-08 1.159200e-08
3.700000e+01 1.176700e+03 4.383800e-02 0.000000e+00 1.914200e+00 1.405400e-07 1.040100e-03 -1.107900e-06 2.046266e-10 2.046266e-10 2.046266e-10 2.046266e-10 1.176700e-08 1.176700e-08 1.176700e-08 1.176700e-08 1.176700e-08
3.800000e+01 1.194400e+03 4.799500e-02 0.000000e+00 1.881600e+00 1.403700e-07 1.016400e-03 -1.212200e-06 2.099796e-10 2.099796e-10 2.099796e-10 2.099796e-10 1.194400e-08 1.194400e-08 1.194400e-08 1.194400e-08 1.194400e-08
3.900000e+01 1.212400e+03 5.239300e-02 0.000000e+00 1.838300e+00 1.401600e-07 9.936000e-04 -1.264600e-06 2.152575e-10 2.152575e-10 2.152575e-10 2.152575e-10 1.212400e-08 1.212400e-08 1.212400e-08 1.212400e-08 1.212400e-08
4.000000e+01 1.230500e+03 5.703400e-02 0.000000e+00 1.783900e+00 1.399200e-07 9.715100e-04 -1.266100e-06 2.204714e-10 2.204714e-10 2.204714e-10 2.204714e-10 1.230500e-08 1.230500e-08 1.230500e-08 1.230500e-08 1.230500e-08
4.100000e+01 1.248900e+03 6.192800e-02 0.000000e+00 1.718000e+00 1.396400e-07 9.501300e-04 -1.221200e-06 2.256014e-10 2.256014e-10 2.256014e-10 2.256014e-10 1.248900e-08 1.248900e-08 1.248900e-08 1.248900e-08 1.248900e-08
4.200000e+01 1.267400e+03 6.709000e-02 0.000000e+00 1.640000e+00 1.393200e-07 9.294500e-04 -1.148900e-06 2.306429e-10 2.306429e-10 2.306429e-10 2.306429e-10 1.267400e-08 1.267400e-08 1.267400e-08 1.267400e-08 1.267400e-08
4.300000e+01 1.286100e+03 7.253200e-02 0.000000e+00 1.549200e+00 1.389800e-07 9.094700e-04 -1.071600e-06 2.356249e-10 2.356249e-10 2.356249e-10 2.356249e-10 1.286100e-08 1.286100e-08 1.286100e-08 1.286100e-08 1.286100e-08
4.400000e+01 1.304700e+03 7.825400e-02 0.000000e+00 1.446000e+00 1.386000e-07 8.901900e-04 -1.011700e-06 2.405104e-10 2.405104e-10 2.405104e-10 2.405104e-10 1.304700e-08 1.304700e-08 1.304700e-08 1.304700e-08 1.304700e-08
4.500000e+01 1.323800e+03 8.426600e-02 0.000000e+00 1.330700e+00 1.382000e-07 8.716200e-04 -9.915000e-07 2.453300e-10 2.453300e-10 2.453300e-10 2.453300e-10 1.323800e-08 1.323800e-08 1.323800e-08 1.323800e-08 1.323800e-08
4.600000e+01 1.343000e+03 9.057600e-02 0.000000e+00 1.201800e+00 1.377700e-07 8.537400e-04 -1.025800e-06 2.500633e-10 2.500633e-10 2.500633e-10 2.500633e-10 1.343000e-08 1.343000e-08 1.343000e-08 1.343000e-08 1.343000e-08
4.700000e+01 1.362400e+03 9.717800e-02 0.000000e+00 1.060000e+00 1.373200e-07 8.365100e-04 -1.099100e-06 2.547251e-10 2.547251e-10 2.547251e-10 2.547251e-10 1.362400e-08 1.362400e-08 1.362400e-08 1.362400e-08 1.362400e-08
4.800000e+01 1.381800e+03 1.040700e-01 0.000000e+00 9.094400e-01 1.368500e-07 8.198800e-04 -1.188500e-06 2.593131e-10 2.593131e-10 2.593131e-10 2.593131e-10 1.381800e-08 1.381800e-08 1.381800e-08 1.381800e-08 1.381800e-08
4.900000e+01 1.401300e+03 1.112200e-01 0.000000e+00 7.535000e-01 1.363600e-07 8.037700e-04 -1.270900e-06 2.638249e-10 2.638249e-10 2.638249e-10 2.638249e-10 1.401300e-08 1.401300e-08 1.401300e-08 1.401300e-08 1.401300e-08
5.000000e+01 1.421300e+03 1.186000e-01 0.000000e+00 5.888500e-01 1.358500e-07 7.881400e-04 -1.323700e-06 2.682580e-10 2.682580e-10 2.682580e-10 2.682580e-10 1.421300e-08 1.421300e-08 1.421300e-08 1.421300e-08 1.421300e-08
5.100000e+01 1.441400e+03 1.261800e-01 0.000000e+00 4.107400e-01 1.353200e-07 7.729400e-04 -1.330500e-06 2.726102e-10 2.726102e-10 2.726102e-10 2.726102e-10 1.441400e-08 1.441400e-08 1.441400e-08 1.441400e-08 1.441400e-08
5.200000e+01 1.462000e+03 1.340300e-01 0.000000e+00 2.144500e-01 1.347800e-07 7.581700e-04 -1.302100e-06 2.768996e-10 2.768996e-10 2.768996e-10 2.768996e-10 1.462000e-08 1.462000e-08 1.462000e-08 1.462000e-08 1.462000e-08
5.300000e+01 1.482500e+03 1.423200e-01 0.000000e+00 -2.905100e-03 1.342200e-07 7.438300e-04 -1.255700e-06 2.811039e-10 2.811039e-10 2.811039e-10 2.811039e-10 1.482500e-08 1.482500e-08 1.482500e-08 1.482500e-08 1.482500e-08
5.400000e+01 1.503000e+03 1.510400e-01 0.000000e+00 -2.362400e-01 1.336500e-07 7.299400e-04 -1.208500e-06 2.852422e-10 2.852422e-10 2.852422e-10 2.852422e-10 1.503000e-08 1.503000e-08 1.503000e-08 1.503000e-08 1.503000e-08
5.500000e+01 1.523600e+03 1.601800e-01 0.000000e+00 -4.803500e-01 1.330600e-07 7.165100e-04 -1.177600e-06 2.892916e-10 2.892916e-10 2.892916e-10 2.892916e-10 1.523600e-08 1.523600e-08 1.523600e-08 1.523600e-08 1.523600e-08
5.600000e+01 1.544600e+03 1.695900e-01 0.000000e+00 -7.363000e-01 1.324600e-07 7.035400e-04 -1.175800e-06 2.932717e-10 2.932717e-10 2.932717e-10 2.932717e-10 1.544600e-08 1.544600e-08 1.544600e-08 1.544600e-08 1.544600e-08
5.700000e+01 1.565800e+03 1.791600e-01 0.000000e+00 -1.004000e+00 1.318600e-07 6.910000e-04 -1.198800e-06 2.972040e-10 2.972040e-10 2.972040e-10 2.972040e-10 1.565800e-08 1.565800e-08 1.565800e-08 1.565800e-08 1.565800e-08
5.800000e+01 1.587300e+03 1.889000e-01 0.000000e+00 -1.284200e+00 1.312400e-07 6.788600e-04 -1.237700e-06 3.010424e-10 3.010424e-10 3.010424e-10 3.010424e-10 1.587300e-08 1.587300e-08 1.587300e-08 1.587300e-08 1.587300e-08
5.900000e+01 1.609000e+03 1.988500e-01 0.000000e+00 -1.577800e+00 1.306100e-07 6.670900e-04 -1.283800e-06 3.048081e-10 3.048081e-10 3.048081e-10 3.048081e-10 1.609000e-08 1.609000e-08 1.609000e-08 1.609000e-08 1.609000e-08
6.000000e+01 1.630900e+03 2.090600e-01 0.000000e+00 -1.884100e+00 1.299800e-07 6.556500e-04 -1.328400e-06 3.085235e-10 3.085235e-10 3.085235e-10 3.085235e-10 1.630900e-08 1.630900e-08 1.630900e-08 1.630900e-08 1.630900e-08
6.100000e+01 1.653200e+03 2.196100e-01 0.000000e+00 -2.202400e+00 1.293400e-07 6.445100e-04 -1.364200e-06 3.121645e-10 3.121645e-10 3.121645e-10 3.121645e-10 1.653200e-08 1.653200e-08 1.653200e-08 1.653200e-08 1.653200e-08
6.200000e+01 1.675400e+03 2.305100e-01 0.000000e+00 -2.533700e+00 1.286900e-07 6.336600e-04 -1.390000e-06 3.157298e-10 3.157298e-10 3.157298e-10 3.157298e-10 1.675400e-08 1.675400e-08 1.675400e-08 1.675400e-08 1.675400e-08
6.300000e+01 1.697700e+03 2.416900e-01 0.000000e+00 -2.878800e+00 1.280400e-07 6.230900e-04 -1.406000e-06 3.192433e-10 3.192433e-10 3.192433e-10 3.192433e-10 1.697700e-08 1.697700e-08 1.697700e-08 1.697700e-08 1.697700e-08
6.400000e+01 1.720400e+03 2.531900e-01 0.000000e+00 -3.239000e+00 1.273800e-07 6.127900e-04 -1.412400e-06 3.226796e-10 3.226796e-10 3.226796e-10 3.226796e-10 1.720400e-08 1.720400e-08 1.720400e-08 1.720400e-08 1.720400e-08
6.500000e+01 1.743100e+03 2.649700e-01 0.000000e+00 -3.614900e+00 1.267100e-07 6.027500e-04 -1.409500e-06 3.260376e-10 3.260376e-10 3.260376e-10 3.260376e-10 1.743100e-08 1.743100e-08 1.743100e-08 1.743100e-08 1.743100e-08
6.600000e+01 1.766100e+03 2.769700e-01 0.000000e+00 -4.004600e+00 1.260400e-07 5.929600e-04 -1.398100e-06 3.293420e-10 3.293420e-10 3.293420e-10 3.293420e-10 1.766100e-08 1.766100e-08 1.766100e-08 1.766100e-08 1.766100e-08
6.700000e+01 1.789200e+03 2.891800e-01 0.000000e+00 -4.405700e+00 1.253700e-07 5.834200e-04 -1.381900e-06 3.325930e-10 3.325930e-10 3.325930e-10 3.325930e-10 1.789200e-08 1.789200e-08 1.789200e-08 1.789200e-08 1.789200e-08
6.800000e+01 1.812700e+03 3.016500e-01 0.000000e+00 -4.816700e+00 1.246900e-07 5.741200e-04 -1.365400e-06 3.357636e-10 3.357636e-10 3.357636e-10 3.357636e-10 1.812700e-08 1.812700e-08 1.812700e-08 1.812700e-08 1.812700e-08
6.900000e+01 1.836400e+03 3.143500e-01 0.000000e+00 -5.236400e+00 1.240100e-07 5.650600e-04 -1.352900e-06 3.388799e-10 3.388799e-10 3.388799e-10 3.388799e-10 1.836400e-08 1.836400e-08 1.836400e-08 1.836400e-08 1.836400e-08
7.000000e+01 1.860400e+03 3.273000e-01 0.000000e+00 -5.666500e+00 1.233300e-07 5.562300e-04 -1.348900e-06 3.419419e-10 3.419419e-10 3.419419e-10 3.419419e-10 1.860400e-08 1.860400e-08 1.860400e-08 1.860400e-08 1.860400e-08
7.100000e+01 1.884700e+03 3.405000e-01 0.000000e+00 -6.109900e+00 1.226400e-07 5.476300e-04 -1.356300e-06 3.449216e-10 3.449216e-10 3.449216e-10 3.449216e-10 1.884700e-08 1.884700e-08 1.884700e-08 1.884700e-08 1.884700e-08
7.200000e+01 1.909100e+03 3.539300e-01 0.000000e+00 -6.567400e+00 1.219600e-07 5.392600e-04 -1.372700e-06 3.478747e-10 3.478747e-10 3.478747e-10 3.478747e-10 1.909100e-08 1.909100e-08 1.909100e-08 1.909100e-08 1.909100e-08
7.300000e+01 1.933700e+03 3.675400e-01 0.000000e+00 -7.039400e+00 1.212700e-07 5.311100e-04 -1.394100e-06 3.507447e-10 3.507447e-10 3.507447e-10 3.507447e-10 1.933700e-08 1.933700e-08 1.933700e-08 1.933700e-08 1.933700e-08
7.400000e+01 1.958500e+03 3.813200e-01 0.000000e+00 -7.524500e+00 1.205800e-07 5.231800e-04 -1.416900e-06 3.535596e-10 3.535596e-10 3.535596e-10 3.535596e-10 1.958500e-08 1.958500e-08 1.958500e-08 1.958500e-08 1.958500e-08
7.500000e+01 1.983500e+03 3.952900e-01 0.000000e+00 -8.021000e+00 1.198900e-07 5.154700e-04 -1.437000e-06 3.563194e-10 3.563194e-10 3.563194e-10 3.563194e-10 1.983500e-08 1.983500e-08 1.983500e-08 1.983500e-08 1.983500e-08
7.600000e+01 2.008800e+03 4.094500e-01 0.000000e+00 -8.527800e+00 1.192000e-07 5.079700e-04 -1.451400e-06 3.590242e-10 3.590242e-10 3.590242e-10 3.590242e-10 2.008800e-08 2.008800e-08 2.008800e-08 2.008800e-08 2.008800e-08
